declare_partition_ABK_title;Declare a partition on the state of Abkhazia;;;;;;;;;;;;;x
declare_partition_ABK_desc;Let the world know of your desire to take as much of Abkhazia as you want;;;;;;;;;;;;;x
partition_ABK_news_longer;$COUNTRY$ has decided that it will make Abkhazia pay for their deeds, and has declared that they will partition their country!;;;;;;;;;;;;;x
partition_ABK_news_short;$COUNTRY$ has declared a partition on the state of Abkhazia;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
declare_partition_ABU_title;Declare a partition on the state of Abu Dhabi;;;;;;;;;;;;;x
declare_partition_ABU_desc;Let the world know of your desire to take as much of Abu Dhabi as you want;;;;;;;;;;;;;x
partition_ABU_news_longer;$COUNTRY$ has decided that it will make Abu Dhabi pay for their deeds, and has declared that they will partition their country!;;;;;;;;;;;;;x
partition_ABU_news_short;$COUNTRY$ has declared a partition on the state of Abu Dhabi;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
declare_partition_AFG_title;Declare a partition on the state of Afghanistan;;;;;;;;;;;;;x
declare_partition_AFG_desc;Let the world know of your desire to take as much of Afghanistan as you want;;;;;;;;;;;;;x
partition_AFG_news_longer;$COUNTRY$ has decided that it will make Afghanistan pay for their deeds, and has declared that they will partition their country!;;;;;;;;;;;;;x
partition_AFG_news_short;$COUNTRY$ has declared a partition on the state of Afghanistan;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
declare_partition_AGC_title;Declare a partition on the state of Angoche;;;;;;;;;;;;;x
declare_partition_AGC_desc;Let the world know of your desire to take as much of Angoche as you want;;;;;;;;;;;;;x
partition_AGC_news_longer;$COUNTRY$ has decided that it will make Angoche pay for their deeds, and has declared that they will partition their country!;;;;;;;;;;;;;x
partition_AGC_news_short;$COUNTRY$ has declared a partition on the state of Angoche;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
declare_partition_AKH_title;Declare a partition on the state of Astrakhan;;;;;;;;;;;;;x
declare_partition_AKH_desc;Let the world know of your desire to take as much of Astrakhan as you want;;;;;;;;;;;;;x
partition_AKH_news_longer;$COUNTRY$ has decided that it will make Astrakhan pay for their deeds, and has declared that they will partition their country!;;;;;;;;;;;;;x
partition_AKH_news_short;$COUNTRY$ has declared a partition on the state of Astrakhan;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
declare_partition_ALB_title;Declare a partition on the state of Albania;;;;;;;;;;;;;x
declare_partition_ALB_desc;Let the world know of your desire to take as much of Albania as you want;;;;;;;;;;;;;x
partition_ALB_news_longer;$COUNTRY$ has decided that it will make Albania pay for their deeds, and has declared that they will partition their country!;;;;;;;;;;;;;x
partition_ALB_news_short;$COUNTRY$ has declared a partition on the state of Albania;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
declare_partition_ALD_title;Declare a partition on the state of Aldjazair;;;;;;;;;;;;;x
declare_partition_ALD_desc;Let the world know of your desire to take as much of Aldjazair as you want;;;;;;;;;;;;;x
partition_ALD_news_longer;$COUNTRY$ has decided that it will make Aldjazair pay for their deeds, and has declared that they will partition their country!;;;;;;;;;;;;;x
partition_ALD_news_short;$COUNTRY$ has declared a partition on the state of Aldjazair;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
declare_partition_ALS_title;Declare a partition on the state of Elsass;;;;;;;;;;;;;x
